Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
723,Hans BROCKHAGE,allemande,"1925, Schwarzenberg (Allemagne) - 2009, ?","Jouet Schaukelwagen
(Balançoire)",Design d'Objet,3,circa 1950,Achat en vente publique à l' Etude Tajan en 2014,"37 x 37,5 x 99,7 cm","Hêtre, caoutchouc, métal",1950,2014,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
724,Jean ROYÈRE,française,"1902, Paris (France) - 1981, Hershey (Pennsylvanie, États-Unis)",Coiffeuse avec miroir,Design d'Objet,3,1950,Achat en vente publique en 1991,44 x 180 x 40 cm,"Structure en latte et contreplaqué recouvert de marquetterie de paille brune et décor étoilé.
Meuble avec petites poignées cylindriques en métal peint. Intérieur des tiroirs avec marquetterie de paille rouge.
Dimensions du miroir: diamètre  65cm, épaisseur 5.5cm",1950,1991,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
725,Marcello NIZZOLI,italienne,"1887, Boretto (Italie) - 1969, Camogli (Italie)",Machine à écrire Lettera 22,Design Industriel,4,1950,Achat aux Etablissement G.L. Binckom en 1994,12 x 32 x 32 cm,Boîtier en métal laqué,1950,1994,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
726,Alvar AALTO,finlandaise,"1898, Kuortane (Finlande) - 1976, Helsinki (Finlande)",Prototypes de bois expérimentaux,Mobilier,1,circa 1950?,Don d'Atsushi Kitagawara avec le soutien des Amis du Centre Pompidou en 2019,"hauteur: 220 cm
diamètre: 110 cm
profondeur: 20 cm",Hêtre,1950,2019,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
727,"Charles EAMES, Ray EAMES",américaine,,Fauteuil LAR,Mobilier,1,1950,Don de Strafor en 1997,63 x 63 x 63 cm,"Coque à accoudoirs, moulée en polyester renforcé de fibre de verre. Piétement  Cat's cradle en tiges d'acier chromé",1950,1997,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
728,Franco ALBINI,italienne,"1905, Robbiate (Italie) - 1977, Milan (Italie)",Margherita Chair,Mobilier,1,1950,"Don des Amis du Centre Pompidou, Groupe d’Acquisition pour le Design, 2019.",98 x 73 x 84 cm,"Rotin, mousse, textile",1950,2019,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
729,Hans Jorgen WEGNER,danoise,"1914, Tonder (Danemark) - 2007, Copenhague (Danemark)",Chaise longue Dolphin,Mobilier,1,1950,"Don de la Clarence Westbury Foundation, 2007",93 x 73 x 150 cm,"Chêne, lames de rotin, laiton",1950,2007,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
730,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Chaise Cafétéria (n° 300),Mobilier,1,1950,Don de Mme Catherine Prouvé en 1992,81 x 42 x 50 cm,Acier laqué et bois,1950,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
731,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Pupitre scolaire,Mobilier,1,vers 1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Graphite et crayon rouge sur calque,1950,2004,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
732,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Chaise démontable (CB 22 puis n°301),Mobilier,1,1950,Don de la Galerie Patrick Seguin en 2009,78 x 40 x 41 cm,"Bois massif, contreplaqué moulé, aluminium, acier",1950,2009,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
733,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Chaise pivotante pour dactylo (n°304),Mobilier,1,1950,Don de M. Jean-Pierre Chiron en 2014,"86,5 x 40,5 x 50 cm","Tube et tôle d'acier cintrés, contreplaqué moulé",1950,2014,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
734,"José ZANINE (José ZANINE CALDAS, dit)",brésilienne,"1919, Belmonte (Brésil) - 2001, Vitoria (Brésil)","Table basse, édition ""Móveis Artísticos Z""",Mobilier,1,vers 1950,Don de Dea Doria et Zanini de Zanine Caldas,35 x 88 x 60 cm,Bois lamellé-collé,1950,1950,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
735,Mathieu MATÉGOT,française,"1910, Tapio-Sully (Hongrie) - 2001, Angers (Pays de la Loire, France)",Fauteuil Copacabana,Mobilier,1,1950,Don de la Société des Amis du Musée national d'art moderne en 2001,69 x 60 x 70 cm,Structure en tube de métal cintré laqué. Assise en tôle perforée et dossier en résille métallique. Revêtement en tissu enduit,1950,2001,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
736,Roger LANDAULT,française,"1919, Paris (Ile-de-France, France) - 1983, Paris (Ile-de-France, France)",Fauteuil châtaignier du Malacca en lame en moëlle de rotin,Mobilier,1,1950,"Don d’Edwige Landault, Jean Marc Landault, Arthur Landault, Maud Mainfroy et Anne Sedel, 2018.","43,5 x 57 cm","Pastel sec, fusain et graphite sur papier",1950,2018,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
737,Roger LANDAULT,française,"1919, Paris (Ile-de-France, France) - 1983, Paris (Ile-de-France, France)",Fauteuil châtaignier du Malacca en lame de mëlle de rotin,Mobilier,1,1950,"Don d’Edwige Landault, Jean Marc Landault, Arthur Landault, Maud Mainfroy et Anne Sedel, 2018.","43,5 x 57 cm","Fusain, pastel sec et graphite sur papier",1950,2018,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
738,Roger LANDAULT,française,"1919, Paris (Ile-de-France, France) - 1983, Paris (Ile-de-France, France)",Fauteuil châtaignier du Malacca en lame en moëlle de rotin,Mobilier,1,1950,"Don d’Edwige Landault, Jean Marc Landault, Arthur Landault, Maud Mainfroy et Anne Sedel, 2018.","43,5 x 56,5 cm","Fusain, pastel et graphite sur papier",1950,2018,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
739,Roger LANDAULT,française,"1919, Paris (Ile-de-France, France) - 1983, Paris (Ile-de-France, France)",Fauteuil châtaignier du Malacca en lame en moëlle de rotin,Mobilier,1,1950,"Don d’Edwige Landault, Jean Marc Landault, Arthur Landault, Maud Mainfroy et Anne Sedel, 2018.","43,5 x 57 cm","Fusain, pastel sec et graphite sur papier",1950,2018,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
740,Eliot NOYES,américaine,"1910, Boston (Massachussetts, États-Unis) - 1977, New Canaan (Connecticut, États-Unis)",Selectric I,Design Graphique/ Illustration,2,1950,Don d' IBM en 1992,"21 x 27,5 cm",Crayon sur papier,1950,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
741,Jan LENICA,française (polonaise à la naissance),"1928, Poznan (Pologne) - 2001, ?",Affiche Jada Goscie Jada,Design Graphique/ Illustration,2,1950?,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"84,5 x 58,5 cm",Impression sur papier,1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
742,Jan LENICA,française (polonaise à la naissance),"1928, Poznan (Pologne) - 2001, ?",Affiche Gena Strachu,Design Graphique/ Illustration,2,vers 1950,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,84 x 57 cm,Impression sur papier 90g,1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
743,Jan MŁODOŻENIEC,polonaise,"1929, Varsovie (Pologne) - 2000, Varsovie (Pologne)",Affiche Wyprawa,Design Graphique/ Illustration,2,vers 1950,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"58,5 x 86 cm",Impression sur papier,1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
744,Jan MŁODOŻENIEC,polonaise,"1929, Varsovie (Pologne) - 2000, Varsovie (Pologne)",Affiche Awa hektary zïemï,Design Graphique/ Illustration,2,vers 1950,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,86 x 61 cm,Impression sur papier,1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
745,Waldemar SWIERZY,polonaise,"1931, Katowice (Pologne)",Affiche Latarnia Morska,Design Graphique/ Illustration,2,vers 1950,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,87 x 59 cm,Impression sur papier,1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
746,George NELSON,américaine,"1908, Hartford (Connecticut, États-Unis) - 1986, New York (New York, États-Unis)",Horloge,Design d'Objet,3,circa 1950,"Don de la Galerie Christine Diegoni-Zyman, 2012","17,5 x 6 x 11,5 cm",Plastique,1950,2012,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
747,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Plafonnier,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,"hauteur: 13 cm
diamètre: 25 cm","Tôle perforée, verre",1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
748,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Plafonnier,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,"hauteur: 12 cm
diamètre: 25 cm","Tôle pleine, verre",1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
749,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Applique articulée,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,31 x 65 cm,"Laiton, peau, papier",1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
750,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Applique lumineuse,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,"26 x 40 x 24,5 cm",Tôle peint blanche,1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
751,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Applique articulée,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,42 x 42 cm,"Métal, papier, peau",1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
752,Pierre GUARICHE,française,"1926, Paris (Ile-de-France, France) - 1995, Bandol (Provence-Alpes-Côte d'Azur, France)",Lampe à poser Chevet à lumière,Design d'Objet,3,vers 1950,Don de l'artiste en 1993,26 x 17 cm,Tôle,1950,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
753,Serge MOUILLE,française,"1922, Paris (Ile-de-France, France) - 1988, Monthiers (Hauts-de-France, France)",Outil Mandrin de retreinte,Design d'Objet,3,vers 1950,Don de l' Indivision Mouille en 2010,,,1950,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
754,Hans GUGELOT,allemande (RFA),"1920, Makassar (Indonésie) - 1965, Ulm (République fédérale d'Allemagne)",Module M 125,Design Industriel,4,1950,Don de M. Pierre Perrigault en 2017,75 x 56 x 125 cm,"lamifié blanc cassé, résine synthétique et bois teinté noir",1950,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
755,Marcello NIZZOLI,italienne,"1887, Boretto (Italie) - 1969, Camogli (Italie)",Machine à écrire Lettera 22,Design Industriel,4,1950,Don de M. Raymond Perrussel en 1994,12 x 32 x 32 cm,"Métal, matière plastique, caoutchouc",1950,1994,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
756,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Graphite sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
757,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Feutre bleu sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
758,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Crayons de couleur et graphite sur papier,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
759,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Feutre bleu sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
760,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Graphite sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
761,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Encre bleue sur papier,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
762,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 21 cm,Feutre bleu sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
763,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Croquis,Design Graphique/ Illustration,2,1950,"Donation de Françoise, Claude, Simone, Hélène et Catherine Prouvé en 2004",21 x 27 cm,Feutre bleu sur papier pelure,1950,2004,Donation,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
764,OLIVETTI,italienne,,Affiche La portatile di chi fa strada,Design Graphique/ Illustration,2,1950,Don de M. Jean Defourneaux en 2004,"68,5 x 48 cm",Sérigraphie plastifiée,1950,2004,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
765,OLIVETTI,italienne,,Affiche Lettera 32,Design Graphique/ Illustration,2,1950,Don de M. Jean Defourneaux en 2004,"69,1 x 48 cm",Sérigraphie plastifiée,1950,2004,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
766,OLIVETTI,italienne,,Affiche Lettera 32,Design Graphique/ Illustration,2,1950,Don de M. Jean Defourneaux en 2004,"69,5 x 49,5 cm",Sérigraphie,1950,2004,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
767,BIC,française,,Stylo BIC Cristal,Design d'Objet,3,décembre 1950,Don de Bic en 2006,"hauteur: 15 cm
diamètre: 0,8 cm",Polystyrène et polypropylène. Bille en carbure de tungstène,1950,2006,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
768,PHILIPS,hollandaise,,Lampe RCA 6L6,Design d'Objet,3,1929 - 1950,Don de Philips France en 2008,"hauteur: 10,5 cm
diamètre: 4 cm",Métal,1950,2008,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
769,PHILIPS,hollandaise,,BELVU 6CD6,Design d'Objet,3,1939 - 1950,Don de Philips France en 2008,"hauteur: 14 cm
diamètre: 5 cm","Verre, métal et bakélite",1950,2008,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
770,PHILIPS,hollandaise,,Lampe 23-EM34-2,Design d'Objet,3,1939 - 1950,Don de Philips France en 2008,"hauteur: 8,5 cm
diamètre: 2,5 cm",Verre et métal,1950,2008,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
771,BRAUN,allemande,,Rasoir pour femme,Design Industriel,4,vers 1950,Don de Mme Danièle Jerabek en 1992,"10 x 5,5 x 3,5 cm","Polystyrène, brillant incrusté",1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
772,BRAUN,allemande,,Rasoir pour femme,Design Industriel,4,vers 1950,Don de Mme Danièle Jerabek en 1992,"10 x 5,5 x 3,5 cm",Polystyrène,1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
773,BRAUN,allemande,,Robot Multimix M2,Design Industriel,4,1950,Don de la Société des Amis du Musée national d'art moderne en 2000,45 x 17 x 15 cm,"Matière plastique, verre et métal",1950,2000,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
774,CALOR,française,,Ventilateur Modèle N° 977,Design Industriel,4,vers 1950,Don de M. Christian Dechaux en 2009,40 x 34 x 25 cm,Matière plastique et acier,1950,2009,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
775,PHILIPS,hollandaise,,Ampoule Rimlock,Design Industriel,4,1940 - 1950,Don de Philips France en 1992,"5,5 x 2 cm","Lampe à 7 ou 8 broches pour radio.
Verre et métal",1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
776,PHILIPS,hollandaise,,Radio BF 183 U,Design Industriel,4,vers 1950,Don de Philips France en 1992,17 x 25 x 15 cm,Boîtier en matière plastique moulée en deux parties,1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
777,PHILIPS,hollandaise,,Radio portable,Design Industriel,4,vers 1950,Don de Philips France en 1992,26 x 28 x 14 cm,Boîtier en bakélite,1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
778,PHILIPS,hollandaise,,Radio,Design Industriel,4,vers 1950,Don de Philips France en 1992,17 x 25 x 16 cm,Boîtier en bakélite,1950,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
779,BRAUN,allemande,,Robot Multipress,Design Industriel,4,1950,Inscription à l'inventaire en 2000,29 x 22 x 22 cm,"Polystyrène, métal et caoutchouc",1950,2000,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
780,ANONYME,unkown,,Elément de claustra,Design d'Objet,3,vers 1950,Donation de M. Daniel Cordier en 2010,61 x 61 x 9 cm,Cylindres en métal peints assemblés entre eux par des pièces en métal,1950,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
781,ANONYME,unkown,,Elément de claustra,Design d'Objet,3,vers 1950,Donation de M. Daniel Cordier en 2010,61 x 61 x 9 cm,Cylindres en métal peints assemblés entre eux par des pièces en métal,1950,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
782,ANONYME,unkown,,Elément de claustra,Design d'Objet,3,vers 1950,Donation de M. Daniel Cordier en 2010,61 x 61 x 9 cm,Cylindres en métal peints assemblés entre eux par des pièces en métal,1950,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
783,ANONYME,unkown,,Elément de claustra,Design d'Objet,3,vers 1950,Donation de M. Daniel Cordier en 2010,61 x 61 x 9 cm,Cylindres en métal peints assemblés entre eux par des pièces en métal,1950,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
784,ANONYME,unkown,,Fer à repasser type FS 602L,Design Industriel,4,vers 1950,Inscription à l'inventaire en 2000,11 x 11 x 22 cm,Métal et matière plastique,1950,2000,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
785,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Pupitre biplace (PP11),Mobilier,1,1951,Achat en vente publique à l' Etude Tajan en 2014,"71,8 x 115 x 88 cm",Tôle d'acier pliée et bois massif,1951,2014,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
786,Marco ZANUSO,italienne,"1916, Milan (Italie) - 2001, Milan (Italie)",Fauteuil Lady,Mobilier,1,1949 - 1951,"Achat en vente publique Vente du 04 février 1995 chez Bonhams Knightsbridge, Londres en 1995",78 x 80 x 80 cm,Structure en métal. Garniture en mousse de caoutchouc synthétique avec sangles élastiques. Revêtement en textile,1951,1995,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
787,André BLOC,française,"1896, Alger (Algérie) - 1966, New Delhi (Inde)",Chaise Bellevue,Mobilier,1,1951,Don de Natalie et Léon Seroussi en 1996,"82 x 39,5 x 48 cm",Assise-dossier en contreplaqué moulé et laqué en forme de S. Piétement en tige d'acier laqué,1951,1996,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
788,"Charles EAMES, Ray EAMES",américaine,,Table basse ETR,Mobilier,1,1951,Don de M. Alexander von Vegesack en 1993,26 x 227 x 74 cm,Plateau en contreplaqué stratifié. Piétement en tube d'acier. Contreventement en fil d'acier,1951,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
789,"Charles EAMES, Ray EAMES",américaine,,Chaise DKR 2 Wire Chair,Mobilier,1,1951,Don de M. Alexander von Vegesack en 1993,85 x 48 x 51 cm,"Piétement en fil d'acier, base Tour Eiffel. Assise en treillis de fil d'acier. Textile",1951,1993,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
790,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Chaise de maternelle (n°805),Mobilier,1,1951,Don Simone Prouvé en 2010,,Tôle d'acier pliée et contreplaqué moulé,1951,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
791,Roger LANDAULT,française,"1919, Paris (Ile-de-France, France) - 1983, Paris (Ile-de-France, France)",Arts ménagers,Design Graphique/ Illustration,2,1951,"Don d’Edwige Landault, Jean Marc Landault, Arthur Landault, Maud Mainfroy et Anne Sedel, 2018.","49,5 x 64,5 cm","Gouache, encre et graphite sur papier",1951,2018,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
792,Waldemar SWIERZY,polonaise,"1931, Katowice (Pologne)",Affiche Fernandel l'auberge rouge,Design Graphique/ Illustration,2,1951,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"86,5 x 61 cm",Impression sur papier,1951,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
793,Gino SARFATTI,italienne,"1912, Venise (Italie) - 1985, Gravellona Toce (Italie)",Lampe de table 534,Design d'Objet,3,1951,Don de la Société des Amis du Musée national d'art moderne en 1999,"hauteur: 56 cm
diamètre: 32 cm",Aluminium laqué,1951,1999,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
794,Jean PROUVÉ,française,"1901, Paris (Ile-de-France, France) - 1984, Nancy (Grand-Est, France)",Escabeau pour caméra de sécurité de banque,Design Industriel,4,1951,Don de la Fondation BNP Paribas en 2007,"193,5 x 65 x 120 cm",Tôle d'acier pliée laquée. 5 marches en chêne,1951,2007,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
795,Harry BERTOIA,américaine (italienne à la naissance),"1915, San Lorenzo (Italie) - 1978, Bally (Pennsylvanie, États-Unis)",Chaise 420,Mobilier,1,1951,Inscription à l'inventaire en 1993,76 x 54 x 50 cm,"Piétement en tube d'acier cintré. Assise en treillis de fil d'acier préformé soudé, ensemble gainé de Rilsan. Boulons acier. Coussin amovible en mousse de latex revêtue de textile enduit",1951,1993,Inscription,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
796,CALOR,française,,Livre Catalogue de vente,Design Graphique/ Illustration,2,octobre 1951,Don de Calor en 1992,"22 x 13,5 cm",,1951,1992,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
797,PHILIPS,hollandaise,,Rasoir SC 7743,Design Industriel,4,1951,Don de Philips France en 1991,"10 x 8,5 x 3,5 cm",Uréaformaldéhyde et métal,1951,1991,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
798,PHILIPS,hollandaise,,Electrophone,Design Industriel,4,1951,Don de Philips France en 2001,"14,5 x 27 x 35 cm",Matière plastique et carton,1951,2001,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
799,PHILIPS,hollandaise,,Radio BF 213 U,Design Industriel,4,1951,Don de Philips France en 2008,18 x 26 x 15 cm,"Matière plastique, carton, textile",1951,2008,Don,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
800,Charlotte PERRIAND,française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)",Bibliothèque de la Maison de Tunisie,Mobilier,1,1952,"Achat, 1991",162 x 353 x 53 cm,"Pin verni, tôle d'aluminium pliée et gaufrée",1952,1991,Achat,Femme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
801,Charlotte PERRIAND,française,"1903, Paris (Ile-de-France, France) - 1999, Paris (Ile-de-France, France)",Bibliothèque de la Maison du Mexique,Mobilier,1,1952,Achat 1998,"161 x 183 x 30,5 cm","Bois, acier laqué, aluminium gauffré",1952,1998,Achat,Femme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
802,Janette LAVERRIÈRE,suisse,"1909, Lausanne (Suisse) - 2011, Paris (France)",Secrétaire mural,Mobilier,1,1952,Achat à l'artiste en 2005,59 x 152 x 46 cm,Feuilles de stratifié traffolyte et aluminium,1952,2005,Achat,Femme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
803,Janette LAVERRIÈRE,suisse,"1909, Lausanne (Suisse) - 2011, Paris (France)",Secrétaire suspendu dispositif d’accrochage,Design Graphique/ Illustration,2,1952,Don de l'artiste en 2005,22 x 30 cm,Crayon sur calque,1952,2005,Don,Femme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
