Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
24,,,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres bleutés,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/cloth.svg,,,,
25,,,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres noirs,1899,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/cloth.svg,,,,
26,ANONYME,unkown,,Querelle de femmes,Design Graphique/ Illustration,2,[1880 - 1900],"Legs de Nina Kandinsky, 1981","35,3 x 44 cm",Reproduction d'une gravure,1899,1981,Legs,Unknown,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
27,ANONYME,unkown,,Aventures chevaleresques,Design Graphique/ Illustration,2,[1880 - 1900],"Legs de Nina Kandinsky, 1981","35,5 x 45 cm","Reproduction d'une gravure, rehaussée de couleurs",1899,1981,Legs,Unknown,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
28,,,,Japanese Jingles,Design d'Objet,3,1891,"Legs de Nina Kandinsky, 1981","17,4 x 13 x 2,2 cm",Encre sur papier crépon,1899,1981,Legs,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
29,Etienne MOREAU-NÉLATON,française,"1859, Paris (France) - 1927, Paris (France)",Vase,Design d'Objet,3,XXe siècle,"Mode d'acquisition non renseigné, entrée au Musée du Luxembourg avant 1931","hauteur: 22 cm
diamètre: 13,5 cm",Terre vernissée,1900,1931,,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
30,ANONYME,unkown,,"Meuble de rangement, de conservation ... Meuble à petits tiroirs",Mobilier,1,[vers 1900],Dation en 2003,"57 x 50,5 x 40,5 cm","Bois, laiton",1900,2003,Dation,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
31,ANONYME,unkown,,Heurtoir de porte,Design d'Objet,3,vers 1900,Donation de M. Daniel Cordier en 2010,9 x 26 x 20 cm,Bronze,1900,2010,Donation,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
32,ANONYME,unkown,,Chaise pliante,Mobilier,1,vers 1900,Inscription à l'inventaire en 1993,"77 x 55 x 52,5 cm",Bois et cannage,1900,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
33,ANONYME,unkown,,Appareil de photo Chambre photographique,Design d'Objet,3,vers 1900,Inscription à l'inventaire en 1993,"32,6 x 19,5 x 26,5 cm","Bois d'acajou, laiton, carton et verre",1900,1993,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
34,Henri DUBRET,française,"1872, Dijon (Côte-d'Or, France) - 1947, Méré (Yvelines, France)",Peigne,Design d'Objet,3,[vers 1902],"Achat de l'Etat, 1905
Attribution, 1906","9,2 x 8,1 x 1,1 cm","Corne, or ciselé, émail à jour, brillants",1902,1906,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
35,Edouard MONOD-HERZEN,française,"1873, Paris (France) - 1963, Paris (France)",Vase,Design d'Objet,3,1904,"Achat de l'Etat, 1904
Attribution, 1904","hauteur: 9,8 cm
diamètre: 7,8 cm","Argent repoussé, martelé et ciselé",1904,1904,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
36,François-Gilbert BOCQUET,suisse,"1874, Carouge (Suisse) - 1955, Carouge (Suisse)",Coupe,Design d'Objet,3,vers 1904,"Achat de l'Etat, 1904
Attribution","hauteur: 13,5 cm
diamètre: 30,2 cm","Métal argenté forgé, repoussé, ciselé et martelé",1904,1904,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
37,Henri HAMM,française,"1871, Bordeaux (Gironde, France) - 1961, Paris (France)",Coupe,Design d'Objet,3,1904,"Achat de l'Etat, 1904
Attribution, 1905","3,5 x 12,5 x 12,2 cm",Corne sculptée et ajourée,1904,1905,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
38,Edouard MONOD-HERZEN,française,"1873, Paris (France) - 1963, Paris (France)",Vase,Design d'Objet,3,1905,"Achat de l'Etat, 1906
Attribution, 1907","hauteur: 21,3 cm
diamètre: 8,2 cm","Argent repoussé, martelé, ciselé, incrusté de reliefs d'or ciselés et patinés",1905,1907,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
39,Charles HAIRON,française,"1880, Bordeaux (Gironde, France) - 1962, Paris (France)",Bonbonnière,Design d'Objet,3,vers 1906,"Achat de l'Etat, 1906
Attribution, 1907","hauteur: 5,5 cm
diamètre: 5,5 cm",Métal ciselé et miroir,1906,1907,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
40,Otto WAGNER,autrichienne,"1841, Penzing (Autriche) - 1918, Vienne (Autriche)",Fauteuil,Mobilier,1,1900 - 1906,Inscription à l'inventaire en 1993,83 x 47 x 58 cm,Assise et dossier en contreplaqué. Structure en bois cintré,1906,1993,Inscription,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
41,Henri HAMM,française,"1871, Bordeaux (Gironde, France) - 1961, Paris (France)",Boîte,Design d'Objet,3,[vers 1907],"Achat de l'Etat, 1907
Attribution, 1912","hauteur: 3,6 cm
diamètre: 9,2 cm","Bois de palissandre tourné et sculpté, corne sculptée",1907,1912,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
42,Peter BEHRENS,allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Ventilateur P 38 type GB1,Design Industriel,4,1908,Achat à la Galerie Ulrich Fiedler en 1999,29 x 28 x 15 cm,Pied en fer de fonte émaillée et pales en laiton nickelé cerclées,1908,1999,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
43,Antonio GAUDI,espagnole,"1852, Reus (Espagne) - 1926, Barcelone (Espagne)",Banc Colonia Guell,Mobilier,1,1908,Inscription à l'inventaire en 1977,83 x 110 x 64 cm,Fer forgé et bois,1908,1977,Inscription,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
44,Peter BEHRENS,allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Bouilloire électrique,Design Industriel,4,1909,Achat à la Galerie Ulrich Fiedler en 1999,23 x 23 x 17 cm,"Laiton vernis, osier",1909,1999,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
45,François DECORCHEMONT,française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Vase,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1931","9,8 x 13,9 cm",Pâte de verre teintée,1909,1931,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
46,François DECORCHEMONT,française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Vase,Design d'Objet,3,1909,"Achat de l'Etat, 1910
Attribution, 1931","8,9 x 12,4 cm",Pâte de verre teintée,1909,1931,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
47,Jean DUNAND,française (suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1938","hauteur: 3,8 cm
diamètre: 39,8 cm","Cuivre argenté, repoussé et martelé",1909,1938,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
48,Jean DUNAND,française (suisse à la naissance),"1877, Lancy (Suisse) - 1942, Paris (Ile-de-France, France)",Plat,Design d'Objet,3,1909,"Achat de l'Etat, 1909
Attribution, 1938","hauteur: 3,9 cm
diamètre: 39,8 cm","Cuivre argenté, repoussé et martelé",1909,1938,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
